site,event_index,onset_sample,peak_sample,onset_s_from_start,peak_s_from_start,peak_envelope,robust_z_peak
L1,380,710333,710336,5549.4765625,5549.5,0.0812623637735953,6.256182381965225
L1,381,712645,712648,5567.5390625,5567.5625,0.08019844993710819,6.149483042679788
L1,382,720891,720896,5631.9609375,5632.0,0.3469868836254498,32.905549772231616
L1,383,723872,723876,5655.25,5655.28125,0.11523889221017905,9.663669916262615
L1,384,725135,725139,5665.1171875,5665.1484375,0.10971146719712413,9.109327471774723
L1,385,726174,726177,5673.234375,5673.2578125,0.09921413370468071,8.056555612353408
L1,386,736498,736501,5753.890625,5753.9140625,0.097616773810492,7.896357258439946
L1,387,737434,737437,5761.203125,5761.2265625,0.08314646552049257,6.4451379201357355
L1,388,741078,741082,5789.671875,5789.703125,0.10029029310656253,8.16448305272371
L1,389,746788,746792,5834.28125,5834.3125,0.1539158047034355,13.54255640791425
L1,390,748712,748715,5849.3125,5849.3359375,0.09757307127006708,7.891974354459837
L1,391,753839,753843,5889.3671875,5889.3984375,0.13793403137855673,11.939753064360927
L1,392,760610,760613,5942.265625,5942.2890625,0.08243805033832399,6.374091347297903
L1,393,763580,763586,5965.46875,5965.515625,0.08455736622879159,6.586636383836452
L1,394,773008,773011,6039.125,6039.1484375,0.09195060258701354,7.3281000320657395
L1,395,786426,786431,6143.953125,6143.9921875,0.22862761905134812,21.035363583032773
L1,396,793023,793033,6195.4921875,6195.5703125,0.3854631001232104,36.76430857178805
L1,397,799878,799881,6249.046875,6249.0703125,0.09418158752804237,7.551844296873427
L1,398,803047,803056,6273.8046875,6273.875,0.12812170130383202,10.95567982467012
L1,399,806406,806410,6300.046875,6300.078125,0.1474657238703967,12.895681313691112
L1,400,808501,808513,6316.4140625,6316.5078125,0.49196020283493236,47.444845007589635
L1,401,813555,813558,6355.8984375,6355.921875,0.0819575849306548,6.325905733209941
L1,402,815995,815998,6374.9609375,6374.984375,0.08376573227682516,6.5072438458940605
L1,403,832604,832607,6504.71875,6504.7421875,0.08897217665360858,7.029395317166801
L1,404,848679,848682,6630.3046875,6630.328125,0.0812930050635169,6.2592553802451265
L1,405,851964,851968,6655.96875,6656.0,0.1463556224092558,12.784349842681554
L1,406,852946,852950,6663.640625,6663.671875,0.13621259028189472,11.767110674222355
L1,407,856736,856739,6693.25,6693.2734375,0.0806465399495764,6.194421746013722
L1,408,861361,861365,6729.3828125,6729.4140625,0.09937896120022173,8.073086072121063
L1,409,861725,861729,6732.2265625,6732.2578125,0.0792382910605635,6.053189231825109
L1,410,869277,869280,6791.2265625,6791.25,0.0895423203122341,7.086574714207062
L1,411,893400,893404,6979.6875,6979.71875,0.11530544225545608,9.670344184062271
L1,412,895760,895765,6998.125,6998.1640625,0.18540010576917854,16.700099816382984
L1,413,896830,896835,7006.484375,7006.5234375,0.08119205403609955,6.24913105668037
L1,414,897008,897013,7007.875,7007.9140625,0.08922192404825151,7.054442347370531
L1,415,897568,897583,7012.25,7012.3671875,0.1216399237092325,10.305625879491174
L1,416,899750,899753,7029.296875,7029.3203125,0.08233572939178942,6.363829635290898
L1,417,900007,900012,7031.3046875,7031.34375,0.08393798018843969,6.52451849514879
L1,418,902127,902133,7047.8671875,7047.9140625,0.11577717629357397,9.717654133852779
L1,419,903684,903689,7060.03125,7060.0703125,0.08275672023637712,6.4060505778354955
L1,420,903779,903784,7060.7734375,7060.8125,0.12124291120312759,10.265809711455123
L1,421,904009,904013,7062.5703125,7062.6015625,0.08127333467287219,6.257282647479278
L1,422,904105,904110,7063.3203125,7063.359375,0.09569856392340624,7.703981033464212
L1,423,908127,908132,7094.7421875,7094.78125,0.10448788715382633,8.585457473838833
L1,424,909599,909603,7106.2421875,7106.2734375,0.1726822701781245,15.424635010711457
L1,425,910749,910754,7115.2265625,7115.265625,0.12405374407660204,10.547706609639832
L1,426,917499,917504,7167.9609375,7168.0,0.3887122416405877,37.09016320517991
L1,427,926097,926102,7235.1328125,7235.171875,0.12580679139141615,10.723518770185072
L1,428,941234,941240,7353.390625,7353.4375,0.3324354645751263,31.446195879945016
L1,429,947528,947531,7402.5625,7402.5859375,0.09655055264478266,7.789426518363315
L1,430,952089,952092,7438.1953125,7438.21875,0.08667857001865324,6.799370756777137
L1,431,958274,958278,7486.515625,7486.546875,0.15744406540349806,13.896403752137608
L1,432,959885,959889,7499.1015625,7499.1328125,0.08381133842846626,6.5118176620063934
L1,433,966382,966386,7549.859375,7549.890625,0.09378213540811584,7.511783461295748
L1,434,969519,969523,7574.3671875,7574.3984375,0.090645270278067,7.1971889656466725
L1,435,974518,974522,7613.421875,7613.453125,0.22668909918019162,20.840950480814794
L1,436,976878,976881,7631.859375,7631.8828125,0.10080111136032276,8.215712737216885
L1,437,977818,977823,7639.203125,7639.2421875,0.11727294047969897,9.867663509530532
L1,438,983035,983040,7679.9609375,7680.0,0.17139573471540592,15.295609069764389
L1,439,994655,994659,7770.7421875,7770.7734375,0.08221843264724583,6.352066008656943
L1,440,996566,996571,7785.671875,7785.7109375,0.07889360078194793,6.018620431490835
L1,441,996744,996747,7787.0625,7787.0859375,0.07975027357909964,6.104535679798635
L1,442,997624,997628,7793.9375,7793.96875,0.08032238398941334,6.16191232129467
L1,443,997719,997725,7794.6796875,7794.7265625,0.14413449162532918,12.561593845923367
L1,444,998270,998274,7798.984375,7799.015625,0.08918892558136086,7.051132949096053
L1,445,1001984,1001988,7828.0,7828.03125,0.0920176905128994,7.334828243618742
L1,446,1004099,1004103,7844.5234375,7844.5546875,0.0815277829588084,6.282801127510847
L1,447,1005785,1005788,7857.6953125,7857.71875,0.094840966785258,7.617973083501236
L1,448,1009834,1009839,7889.328125,7889.3671875,0.08542147490192804,6.673297372097406
L1,449,1010188,1010192,7892.09375,7892.125,0.08408907694303908,6.5396719063847595
L1,450,1010660,1010668,7895.78125,7895.84375,0.07963653260848651,6.093128659795796
L1,451,1014729,1014732,7927.5703125,7927.59375,0.08832221784322274,6.9642113020214556
