site,event_index,onset_sample,peak_sample,onset_s_from_start,peak_s_from_start,peak_envelope,robust_z_peak
H1,2453,1375143,1375147,10743.3046875,10743.3359375,0.009491552211010454,9.227678584167439
H1,2454,1375502,1375506,10746.109375,10746.140625,0.007764405529103414,7.220675810375558
H1,2455,1375644,1375646,10747.21875,10747.234375,0.006889120579532006,6.203565138739705
H1,2456,1376234,1376256,10751.828125,10752.0,0.15983005458195923,183.9260955901015
H1,2457,1376325,1376329,10752.5390625,10752.5703125,0.008058772491552308,7.56274016213941
H1,2458,1377037,1377044,10758.1015625,10758.15625,0.00813360499567568,7.6496980591835495
H1,2459,1377436,1377439,10761.21875,10761.2421875,0.00781716059346506,7.281978976814488
H1,2460,1377961,1377965,10765.3203125,10765.3515625,0.00969895533899082,9.46868802332526
H1,2461,1378619,1378622,10770.4609375,10770.484375,0.007107908083550741,6.457803607328696
H1,2462,1378882,1378887,10772.515625,10772.5546875,0.018061327218072697,19.18604656189777
H1,2463,1378972,1378976,10773.21875,10773.25,0.00851886047156298,8.097377933061185
H1,2464,1379957,1379962,10780.9140625,10780.953125,0.012797665586086132,13.06949398048388
H1,2465,1380244,1380249,10783.15625,10783.1953125,0.007731770855642432,7.182753217671581
H1,2466,1381902,1381910,10796.109375,10796.171875,0.013827722747768978,14.26645518957992
H1,2467,1382225,1382228,10798.6328125,10798.65625,0.00738403683661043,6.778674543839182
H1,2468,1382394,1382399,10799.953125,10799.9921875,0.012834624584618001,13.112441584961879
H1,2469,1384493,1384496,10816.3515625,10816.375,0.007162472078516443,6.521208812220973
H1,2470,1384699,1384709,10817.9609375,10818.0390625,0.014253088824172738,14.76074493587795
H1,2471,1385088,1385092,10821.0,10821.03125,0.008848817963023599,8.480799681504504
H1,2472,1385509,1385514,10824.2890625,10824.328125,0.009801795144556542,9.588191350511533
H1,2473,1386330,1386332,10830.703125,10830.71875,0.007483608395956292,6.894380058542352
H1,2474,1386394,1386402,10831.203125,10831.265625,0.01634218046772931,17.18833997875755
H1,2475,1387927,1387933,10843.1796875,10843.2265625,0.00974317568114272,9.520073554320748
H1,2476,1388211,1388214,10845.3984375,10845.421875,0.008088871098834695,7.597715760295511
H1,2477,1388482,1388485,10847.515625,10847.5390625,0.008224017753503697,7.754760737210783
H1,2478,1389480,1389483,10855.3125,10855.3359375,0.007081598500705518,6.427230983531993
H1,2479,1389799,1389805,10857.8046875,10857.8515625,0.010807609922386342,10.756982090853482
H1,2480,1389918,1389923,10858.734375,10858.7734375,0.014558232522996371,15.115332219262552
H1,2481,1390615,1390618,10864.1796875,10864.203125,0.007185150319004575,6.547561693560583
H1,2482,1390805,1390809,10865.6640625,10865.6953125,0.007735147900920253,7.18667745833441
H1,2483,1391406,1391411,10870.359375,10870.3984375,0.007890265080981809,7.366928860202935
H1,2484,1391719,1391724,10872.8046875,10872.84375,0.009921889646891613,9.727745218071586
H1,2485,1391912,1391915,10874.3125,10874.3359375,0.007056834563171363,6.3984544517864785
H1,2486,1392994,1392997,10882.765625,10882.7890625,0.00799786471251918,7.491963265917708
H1,2487,1393123,1393128,10883.7734375,10883.8125,0.012313737958398682,12.507153733846096
H1,2488,1393194,1393197,10884.328125,10884.3515625,0.009850464974675644,9.644747336793579
H1,2489,1393262,1393266,10884.859375,10884.890625,0.009866875832759261,9.663817308116315
H1,2490,1393852,1393855,10889.46875,10889.4921875,0.007539486674403848,6.9593125052266895
H1,2491,1394010,1394014,10890.703125,10890.734375,0.007999185398770519,7.493497947944148
H1,2492,1394136,1394140,10891.6875,10891.71875,0.007397895647152715,6.7947789497308175
